epoch,train_loss,iou,dice,f1,epoch_time,throughput
1,0.6088,,,,13.9115,6.4695
2,0.5554,,,,13.9547,6.4494
3,0.5267,,,,14.4031,6.2487
4,0.5144,,,,14.8157,6.0746
5,0.5086,,,,15.0512,5.9796
6,0.5024,,,,15.3596,5.8595
7,0.4983,,,,15.2587,5.8983
8,0.4950,,,,15.2314,5.9089
9,0.4928,,,,15.1464,5.9420
10,0.4896,,,,15.1731,5.9316
11,0.4875,,,,15.2519,5.9009
12,0.4857,,,,15.5323,5.7944
13,0.4837,,,,15.5524,5.7869
14,0.4820,,,,15.7207,5.7249
15,0.4811,,,,15.5452,5.7896
16,0.4798,,,,15.6827,5.7388
17,0.4786,,,,15.8003,5.6961
18,0.4774,,,,15.8640,5.6732
19,0.4762,,,,15.6987,5.7330
20,0.4749,,,,15.7910,5.6995
21,0.4735,,,,15.8557,5.6762
22,0.4721,,,,15.9195,5.6534
23,0.4713,,,,16.5309,5.4443
24,0.4694,,,,16.2278,5.5460
25,0.4691,,,,16.2020,5.5549
26,0.4682,,,,16.0557,5.6055
27,0.4672,,,,15.9817,5.6314
28,0.4664,,,,15.9938,5.6272
29,0.4653,,,,15.9349,5.6480
30,0.4651,,,,16.1228,5.5822
31,0.4646,,,,16.0702,5.6004
32,0.4646,,,,16.4302,5.4777
33,0.4626,,,,16.2872,5.5258
34,0.4627,,,,16.6132,5.4174
35,0.4617,,,,16.5985,5.4222
36,0.4611,,,,17.1321,5.2533
37,0.4606,,,,17.0285,5.2853
38,0.4596,,,,17.3961,5.1736
39,0.4585,,,,16.6346,5.4104
40,0.4590,,,,16.3007,5.5212
41,0.4593,,,,16.3810,5.4942
42,0.4587,,,,16.3712,5.4974
43,0.4569,,,,16.3493,5.5048
44,0.4556,,,,16.2662,5.5329
45,0.4545,,,,16.2586,5.5355
46,0.4543,,,,16.3630,5.5002
47,0.4530,,,,16.1659,5.5673
48,0.4526,,,,16.2264,5.5465
49,0.4519,,,,16.1803,5.5623
50,0.4515,,,,16.2028,5.5546
51,0.4504,0.7485,0.8555,0.8555,16.2322,5.5445
52,0.4485,0.7396,0.8496,0.8496,16.1497,5.5729
53,0.4477,0.7429,0.8518,0.8518,16.3241,5.5133
54,0.4470,0.7493,0.8560,0.8560,16.5901,5.4249
55,0.4471,0.7435,0.8522,0.8522,16.2079,5.5529
56,0.4457,0.7333,0.8455,0.8455,16.2090,5.5525
57,0.4447,0.7484,0.8554,0.8554,16.4134,5.4833
58,0.4446,0.7312,0.8440,0.8440,16.4272,5.4787
59,0.4436,0.7326,0.8450,0.8450,16.5331,5.4436
60,0.4428,0.7326,0.8449,0.8449,16.6149,5.4168
61,0.4414,0.7462,0.8540,0.8540,16.3542,5.5032
62,0.4405,0.7354,0.8468,0.8468,16.5033,5.4534
63,0.4399,0.7355,0.8469,0.8469,16.3727,5.4970
64,0.4387,0.7448,0.8531,0.8531,16.6177,5.4159
65,0.4366,0.7374,0.8481,0.8481,16.2936,5.5236
66,0.4358,0.7216,0.8377,0.8377,16.8262,5.3488
67,0.4339,0.7300,0.8432,0.8432,16.0995,5.5903
68,0.4322,0.7353,0.8468,0.8468,16.4043,5.4864
69,0.4307,0.7358,0.8472,0.8472,17.0219,5.2873
70,0.4304,0.7358,0.8472,0.8472,16.1726,5.5650
71,0.4304,0.7314,0.8442,0.8442,16.4024,5.4870
72,0.4286,0.7251,0.8400,0.8400,16.1495,5.5729
73,0.4281,0.7410,0.8506,0.8506,16.3277,5.5121
74,0.4278,0.7368,0.8477,0.8477,16.0382,5.6116
75,0.4252,0.7323,0.8448,0.8448,16.2828,5.5273
76,0.4231,0.7370,0.8479,0.8479,16.1880,5.5597
77,0.4209,0.7419,0.8512,0.8512,16.4178,5.4819
78,0.4186,0.7341,0.8460,0.8460,16.1698,5.5659
79,0.4167,0.7447,0.8530,0.8530,16.1487,5.5732
80,0.4146,0.7413,0.8507,0.8507,16.1954,5.5571
81,0.4132,0.7254,0.8402,0.8402,16.9927,5.2964
82,0.4127,0.7360,0.8473,0.8473,16.1455,5.5743
83,0.4108,0.7349,0.8465,0.8465,16.1866,5.5601
84,0.4099,0.7371,0.8480,0.8480,16.3373,5.5089
85,0.4084,0.7380,0.8487,0.8487,16.2910,5.5245
86,0.4067,0.7324,0.8449,0.8449,16.3889,5.4915
87,0.4052,0.7414,0.8509,0.8509,16.3505,5.5044
88,0.4039,0.7348,0.8465,0.8465,16.3789,5.4949
89,0.4045,0.7367,0.8478,0.8478,16.0780,5.5977
90,0.4031,0.7405,0.8503,0.8503,16.3220,5.5140
91,0.4036,0.7252,0.8401,0.8401,16.6186,5.4156
92,0.4035,0.7349,0.8464,0.8464,16.1929,5.5580
93,0.4020,0.7304,0.8436,0.8436,16.3286,5.5118
94,0.4011,0.7230,0.8386,0.8386,16.4519,5.4705
95,0.3999,0.7406,0.8502,0.8502,16.2504,5.5383
96,0.3993,0.7391,0.8494,0.8494,16.3587,5.5017
97,0.3985,0.7240,0.8393,0.8393,16.3767,5.4956
98,0.3968,0.7315,0.8443,0.8443,16.2077,5.5529
99,0.3958,0.7338,0.8458,0.8458,16.5888,5.4254
100,0.3952,0.7290,0.8426,0.8426,16.4096,5.4846
101,0.3951,0.7326,0.8450,0.8450,16.2626,5.5342
102,0.3938,0.7411,0.8508,0.8508,17.2639,5.2132
103,0.3932,0.7377,0.8485,0.8485,16.2510,5.5381
104,0.3920,0.7306,0.8437,0.8437,16.1024,5.5892
105,0.3915,0.7407,0.8504,0.8504,16.4079,5.4852
106,0.3915,0.7302,0.8434,0.8434,16.2989,5.5218
107,0.3915,0.7427,0.8518,0.8518,16.3631,5.5002
108,0.3918,0.7484,0.8554,0.8554,16.5333,5.4436
109,0.3910,0.7380,0.8486,0.8486,16.3773,5.4954
110,0.3907,0.7298,0.8432,0.8432,16.1711,5.5655
111,0.3906,0.7259,0.8406,0.8406,16.1320,5.5790
112,0.3901,0.7355,0.8470,0.8470,16.1740,5.5645
113,0.3890,0.7454,0.8535,0.8535,16.0906,5.5933
114,0.3895,0.7338,0.8458,0.8458,16.2970,5.5225
115,0.3883,0.7415,0.8510,0.8510,16.1120,5.5859
116,0.3872,0.7410,0.8505,0.8505,16.0547,5.6058
117,0.3862,0.7311,0.8440,0.8440,16.0490,5.6078
118,0.3851,0.7432,0.8520,0.8520,16.4593,5.4680
119,0.3837,0.7312,0.8441,0.8441,16.0792,5.5973
120,0.3823,0.7428,0.8517,0.8517,16.4001,5.4878
121,0.3813,0.7342,0.8461,0.8461,16.2520,5.5378
122,0.3812,0.7363,0.8474,0.8474,16.4726,5.4636
123,0.3807,0.7498,0.8564,0.8564,16.4920,5.4572
124,0.3803,0.7520,0.8577,0.8577,16.2269,5.5463
125,0.3807,0.7370,0.8479,0.8479,16.2518,5.5379
126,0.3802,0.7476,0.8550,0.8550,16.4133,5.4834
127,0.3787,0.7451,0.8531,0.8531,16.1662,5.5672
128,0.3780,0.7392,0.8492,0.8492,16.4370,5.4754
129,0.3765,0.7375,0.8482,0.8482,16.3729,5.4969
130,0.3764,0.7363,0.8474,0.8474,16.1596,5.5695
131,0.3761,0.7480,0.8552,0.8552,16.1863,5.5602
132,0.3760,0.7565,0.8607,0.8607,16.1109,5.5863
133,0.3744,0.7484,0.8553,0.8553,16.5504,5.4379
134,0.3739,0.7542,0.8593,0.8593,16.2520,5.5378
135,0.3739,0.7441,0.8525,0.8525,16.5074,5.4521
136,0.3733,0.7316,0.8443,0.8443,16.5212,5.4475
137,0.3723,0.7363,0.8473,0.8473,16.1741,5.5645
138,0.3712,0.7321,0.8446,0.8446,16.0980,5.5908
139,0.3692,0.7517,0.8576,0.8576,16.2926,5.5240
140,0.3683,0.7507,0.8569,0.8569,16.2020,5.5549
141,0.3671,0.7429,0.8518,0.8518,16.0526,5.6066
142,0.3665,0.7379,0.8485,0.8485,16.9266,5.3171
143,0.3656,0.7488,0.8557,0.8557,16.0424,5.6101
144,0.3654,0.7467,0.8543,0.8543,16.0966,5.5912
145,0.3652,0.7545,0.8594,0.8594,16.3197,5.5148
146,0.3651,0.7515,0.8574,0.8574,16.4252,5.4794
147,0.3644,0.7602,0.8631,0.8631,16.2423,5.5411
148,0.3637,0.7637,0.8654,0.8654,16.3631,5.5002
149,0.3631,0.7389,0.8492,0.8492,16.5373,5.4423
150,0.3623,0.7480,0.8552,0.8552,16.1579,5.5700
151,0.3620,0.7456,0.8535,0.8535,16.2648,5.5334
152,0.3612,0.7501,0.8566,0.8566,16.4789,5.4615
153,0.3608,0.7469,0.8543,0.8543,16.1539,5.5714
154,0.3609,0.7339,0.8459,0.8459,16.3623,5.5005
155,0.3626,0.7457,0.8536,0.8536,16.8390,5.3447
156,0.3630,0.7439,0.8524,0.8524,16.0372,5.6119
157,0.3638,0.7422,0.8513,0.8513,16.3038,5.5202
158,0.3635,0.7513,0.8573,0.8573,16.1584,5.5699
159,0.3632,0.7359,0.8472,0.8472,16.5963,5.4229
160,0.3630,0.7358,0.8471,0.8471,16.3202,5.5146
161,0.3622,0.7417,0.8509,0.8509,16.1371,5.5772
162,0.3615,0.7448,0.8530,0.8530,16.6173,5.4160
163,0.3600,0.7546,0.8594,0.8594,16.3019,5.5208
164,0.3590,0.7344,0.8461,0.8461,16.3197,5.5148
165,0.3573,0.7391,0.8493,0.8493,16.4254,5.4793
166,0.3553,0.7563,0.8607,0.8607,16.1584,5.5699
167,0.3543,0.7287,0.8425,0.8425,16.2375,5.5427
168,0.3525,0.7432,0.8519,0.8519,16.2947,5.5233
169,0.3517,0.7406,0.8502,0.8502,16.0567,5.6051
170,0.3508,0.7494,0.8561,0.8561,16.1881,5.5596
171,0.3501,0.7522,0.8579,0.8579,16.3475,5.5054
172,0.3498,0.7480,0.8551,0.8551,16.2270,5.5463
173,0.3491,0.7550,0.8598,0.8598,16.4274,5.4787
174,0.3486,0.7422,0.8513,0.8513,16.4578,5.4685
175,0.3481,0.7464,0.8540,0.8540,16.1437,5.5749
176,0.3479,0.7486,0.8556,0.8556,16.2258,5.5467
177,0.3481,0.7436,0.8523,0.8523,16.1944,5.5575
178,0.3482,0.7572,0.8612,0.8612,16.4077,5.4852
179,0.3475,0.7424,0.8515,0.8515,16.3271,5.5123
180,0.3470,0.7357,0.8470,0.8470,16.1957,5.5570
181,0.3465,0.7448,0.8530,0.8530,16.4186,5.4816
182,0.3446,0.7391,0.8493,0.8493,16.3974,5.4887
183,0.3429,0.7507,0.8569,0.8569,16.3909,5.4909
184,0.3413,0.7499,0.8564,0.8564,16.1232,5.5820
185,0.3402,0.7411,0.8506,0.8506,16.5217,5.4474
186,0.3397,0.7503,0.8565,0.8565,16.2487,5.5389
187,0.3398,0.7355,0.8470,0.8470,16.5498,5.4381
188,0.3407,0.7398,0.8497,0.8497,16.6620,5.4015
189,0.3408,0.7442,0.8526,0.8526,16.0934,5.5924
190,0.3406,0.7390,0.8493,0.8493,16.1766,5.5636
