epoch,train_loss,iou,dice,f1,epoch_time,throughput
1,0.7819,,,,29.4202,3.0591
2,0.6790,,,,31.8579,2.8250
3,0.6392,,,,34.1977,2.6318
4,0.6136,,,,34.8723,2.5808
5,0.5948,,,,35.1765,2.5585
6,0.5741,,,,37.5486,2.3969
7,0.5555,,,,40.0253,2.2486
8,0.5421,,,,38.4608,2.3400
9,0.5304,,,,39.4400,2.2819
10,0.5214,,,,40.3128,2.2325
11,0.5138,,,,41.0432,2.1928
12,0.5078,,,,40.9628,2.1971
13,0.5034,,,,40.9514,2.1977
14,0.4990,,,,42.0861,2.1385
15,0.4960,,,,40.4723,2.2237
16,0.4922,,,,42.6489,2.1103
17,0.4894,,,,41.5846,2.1643
18,0.4868,,,,42.7867,2.1035
19,0.4853,,,,43.6631,2.0612
20,0.4831,,,,43.3473,2.0763
21,0.4803,,,,44.1632,2.0379
22,0.4794,,,,44.1974,2.0363
23,0.4790,,,,44.1473,2.0386
24,0.4753,,,,44.7176,2.0126
25,0.4750,,,,44.8898,2.0049
26,0.4740,,,,44.6365,2.0163
27,0.4727,,,,45.1064,1.9953
28,0.4718,,,,44.8057,2.0087
29,0.4693,,,,44.4578,2.0244
30,0.4697,,,,44.6823,2.0142
31,0.4680,,,,43.7678,2.0563
32,0.4671,,,,43.5355,2.0673
33,0.4665,,,,44.9323,2.0030
34,0.4658,,,,47.7157,1.8862
35,0.4639,,,,49.3555,1.8235
36,0.4626,,,,45.3918,1.9827
37,0.4631,,,,42.6525,2.1101
38,0.4617,,,,43.8041,2.0546
39,0.4617,,,,44.1356,2.0392
40,0.4588,,,,44.1314,2.0394
41,0.4600,,,,43.2143,2.0826
42,0.4587,,,,43.0312,2.0915
43,0.4566,,,,43.7859,2.0555
44,0.4557,,,,44.1147,2.0401
45,0.4564,,,,45.5283,1.9768
46,0.4554,,,,45.6522,1.9714
47,0.4581,,,,44.4667,2.0240
48,0.4564,,,,43.5235,2.0678
49,0.4577,,,,43.5738,2.0655
50,0.4542,,,,44.2957,2.0318
51,0.4539,0.7772,0.8744,0.8744,42.6948,2.1080
52,0.4516,0.7828,0.8780,0.8780,42.0489,2.1404
53,0.4496,0.7821,0.8775,0.8775,43.2068,2.0830
54,0.4501,0.7836,0.8785,0.8785,42.9071,2.0976
55,0.4490,0.7820,0.8774,0.8774,44.2397,2.0344
56,0.4480,0.7820,0.8774,0.8774,43.5164,2.0682
57,0.4486,0.7751,0.8730,0.8730,45.1167,1.9948
58,0.4541,0.7887,0.8817,0.8817,45.4618,1.9797
59,0.4508,0.7856,0.8797,0.8797,43.9804,2.0464
60,0.4475,0.7886,0.8816,0.8816,41.7381,2.1563
61,0.4490,0.7848,0.8792,0.8792,39.9164,2.2547
62,0.4478,0.7906,0.8829,0.8829,38.7778,2.3209
63,0.4423,0.7874,0.8808,0.8808,39.2025,2.2958
64,0.4422,0.7870,0.8806,0.8806,40.1263,2.2429
65,0.4424,0.7911,0.8832,0.8832,40.1077,2.2440
66,0.4408,0.7937,0.8848,0.8848,39.9205,2.2545
67,0.4408,0.7930,0.8844,0.8844,39.7138,2.2662
68,0.4413,0.7956,0.8860,0.8860,39.2894,2.2907
69,0.4407,0.7927,0.8842,0.8842,38.5093,2.3371
70,0.4419,0.7863,0.8801,0.8801,39.8716,2.2572
71,0.4475,0.7931,0.8844,0.8844,39.5129,2.2777
72,0.4454,0.7926,0.8841,0.8841,38.9837,2.3087
73,0.4430,0.7986,0.8879,0.8879,38.4370,2.3415
74,0.4384,0.7914,0.8833,0.8833,40.7856,2.2067
75,0.4377,0.7960,0.8862,0.8862,41.9393,2.1460
76,0.4354,0.7931,0.8844,0.8844,40.5289,2.2206
77,0.4380,0.7985,0.8878,0.8878,40.8754,2.2018
78,0.4333,0.7965,0.8865,0.8865,41.2382,2.1824
79,0.4310,0.7954,0.8858,0.8858,43.0588,2.0902
80,0.4356,0.7953,0.8858,0.8858,44.4717,2.0238
81,0.4367,0.7877,0.8810,0.8810,44.0599,2.0427
82,0.4450,0.7995,0.8884,0.8884,44.5414,2.0206
83,0.4384,0.7911,0.8831,0.8831,45.0973,1.9957
84,0.4325,0.8016,0.8897,0.8897,44.3686,2.0285
85,0.4335,0.7968,0.8867,0.8867,43.0274,2.0917
