epoch,train_loss,iou,dice,f1,epoch_time,throughput
1,0.3568,,,,17.2948,6.2447
2,0.3215,,,,19.4887,5.5417
3,0.2979,,,,17.5381,6.1580
4,0.2807,,,,17.9309,6.0231
5,0.2690,,,,19.0977,5.6551
6,0.2596,,,,19.9584,5.4113
7,0.2520,,,,19.4700,5.5470
8,0.2458,,,,19.0821,5.6598
9,0.2407,,,,19.0649,5.6648
10,0.2366,,,,19.2882,5.5993
11,0.2328,,,,18.4191,5.8635
12,0.2293,,,,18.8050,5.7432
13,0.2260,,,,18.7369,5.7640
14,0.2227,,,,20.0462,5.3876
15,0.2200,,,,19.3186,5.5905
16,0.2177,,,,19.0569,5.6673
17,0.2152,,,,19.0030,5.6833
18,0.2120,,,,19.3147,5.5916
19,0.2090,,,,19.8832,5.4317
20,0.2064,,,,19.5380,5.5277
21,0.2042,,,,19.1891,5.6282
22,0.2012,,,,19.6517,5.4957
23,0.1988,,,,19.0326,5.6745
24,0.1960,,,,19.8341,5.4452
25,0.1948,,,,19.2500,5.6104
26,0.1934,,,,19.5422,5.5265
27,0.1906,,,,19.7844,5.4588
28,0.1884,,,,19.4521,5.5521
29,0.1863,,,,19.4885,5.5417
30,0.1845,,,,19.5050,5.5370
31,0.1834,,,,20.4847,5.2722
32,0.1815,,,,21.3502,5.0585
33,0.1802,,,,21.8125,4.9513
34,0.1787,,,,20.7044,5.2163
35,0.1776,,,,21.5186,5.0189
36,0.1758,,,,19.5829,5.5150
37,0.1743,,,,20.4686,5.2764
38,0.1723,,,,21.4593,5.0328
39,0.1702,,,,20.2482,5.3338
40,0.1692,,,,20.3790,5.2996
41,0.1680,,,,20.1372,5.3632
42,0.1661,,,,20.0099,5.3973
43,0.1649,,,,19.6127,5.5066
44,0.1632,,,,19.9195,5.4218
45,0.1624,,,,19.2815,5.6012
46,0.1614,,,,19.0996,5.6546
47,0.1601,,,,19.6022,5.5096
48,0.1577,,,,19.9061,5.4255
49,0.1572,,,,19.8211,5.4487
50,0.1563,,,,19.9695,5.4083
51,0.1559,0.5402,0.6959,0.6959,20.0456,5.3877
52,0.1542,0.5511,0.7058,0.7058,19.2250,5.6177
53,0.1537,0.5384,0.6943,0.6943,21.1308,5.1110
54,0.1517,0.5343,0.6913,0.6913,20.9475,5.1558
55,0.1506,0.5713,0.7227,0.7227,19.7197,5.4768
56,0.1490,0.5449,0.7010,0.7010,22.1314,4.8799
57,0.1473,0.4530,0.6160,0.6160,20.1182,5.3683
58,0.1463,0.5427,0.6988,0.6988,20.5599,5.2529
59,0.1458,0.5363,0.6933,0.6933,19.9133,5.4235
60,0.1450,0.5069,0.6673,0.6673,20.8714,5.1745
61,0.1439,0.5405,0.6971,0.6971,20.7371,5.2081
62,0.1424,0.4609,0.6242,0.6242,19.3745,5.5743
63,0.1417,0.4955,0.6569,0.6569,19.8711,5.4350
64,0.1413,0.5647,0.7176,0.7176,19.8295,5.4464
65,0.1403,0.5235,0.6824,0.6824,20.3278,5.3129
66,0.1395,0.5664,0.7189,0.7189,20.3298,5.3124
67,0.1385,0.5246,0.6834,0.6834,19.7235,5.4757
68,0.1370,0.5526,0.7067,0.7067,20.4824,5.2728
69,0.1361,0.5399,0.6964,0.6964,19.9314,5.4186
70,0.1356,0.5077,0.6676,0.6676,20.3348,5.3111
71,0.1348,0.5168,0.6752,0.6752,20.2585,5.3311
72,0.1341,0.4473,0.6108,0.6108,20.6639,5.2265
73,0.1330,0.5506,0.7050,0.7050,20.0625,5.3832
74,0.1323,0.5354,0.6923,0.6923,19.8346,5.4450
75,0.1320,0.5385,0.6951,0.6951,20.8365,5.1832
76,0.1314,0.5154,0.6747,0.6747,20.5553,5.2541
77,0.1308,0.5558,0.7104,0.7104,20.5308,5.2604
78,0.1288,0.5211,0.6795,0.6795,20.6208,5.2374
79,0.1282,0.5625,0.7140,0.7140,20.3597,5.3046
80,0.1271,0.5342,0.6912,0.6912,20.4116,5.2911
81,0.1270,0.4724,0.6357,0.6357,20.1231,5.3670
82,0.1258,0.5648,0.7172,0.7172,20.1927,5.3485
83,0.1251,0.5288,0.6867,0.6867,20.1759,5.3529
84,0.1242,0.5092,0.6696,0.6696,20.0976,5.3738
85,0.1238,0.4885,0.6502,0.6502,20.0332,5.3910
86,0.1236,0.4910,0.6534,0.6534,20.2208,5.3410
87,0.1228,0.5432,0.6995,0.6995,20.8147,5.1887
88,0.1216,0.5306,0.6886,0.6886,19.4199,5.5613
89,0.1217,0.5703,0.7229,0.7229,19.9323,5.4184
90,0.1209,0.5115,0.6717,0.6717,19.9685,5.4085
91,0.1199,0.5174,0.6769,0.6769,20.4038,5.2931
92,0.1200,0.4939,0.6560,0.6560,19.8749,5.4340
93,0.1201,0.4874,0.6498,0.6498,20.4523,5.2806
94,0.1199,0.5754,0.7262,0.7262,20.1980,5.3471
95,0.1184,0.5254,0.6841,0.6841,20.0582,5.3843
96,0.1178,0.5047,0.6655,0.6655,19.9205,5.4215
97,0.1174,0.5316,0.6891,0.6891,20.7337,5.2089
98,0.1166,0.5268,0.6851,0.6851,19.7954,5.4558
99,0.1158,0.5342,0.6916,0.6916,19.6421,5.4984
100,0.1145,0.5507,0.7056,0.7056,20.2921,5.3223
101,0.1138,0.5407,0.6967,0.6967,19.4673,5.5478
102,0.1133,0.5696,0.7214,0.7214,19.7208,5.4765
103,0.1128,0.5570,0.7112,0.7112,20.6680,5.2255
104,0.1124,0.5145,0.6748,0.6748,19.9064,5.4254
105,0.1122,0.5643,0.7169,0.7169,19.8614,5.4377
106,0.1111,0.5461,0.7017,0.7017,20.0886,5.3762
107,0.1105,0.5359,0.6934,0.6934,19.9837,5.4044
108,0.1100,0.5344,0.6915,0.6915,20.3242,5.3139
109,0.1091,0.5159,0.6754,0.6754,19.9060,5.4255
110,0.1094,0.5618,0.7152,0.7152,20.6479,5.2305
111,0.1095,0.5647,0.7178,0.7178,19.8086,5.4522
112,0.1088,0.5421,0.6981,0.6981,20.3254,5.3136
113,0.1091,0.5635,0.7166,0.7166,20.4699,5.2760
114,0.1083,0.5704,0.7228,0.7228,20.0621,5.3833
115,0.1080,0.5765,0.7276,0.7276,20.0535,5.3856
116,0.1073,0.5391,0.6959,0.6959,20.3268,5.3132
117,0.1075,0.5708,0.7229,0.7229,20.0140,5.3962
118,0.1071,0.5536,0.7086,0.7086,20.4068,5.2924
119,0.1064,0.5779,0.7286,0.7286,20.4320,5.2858
120,0.1048,0.5449,0.7011,0.7011,20.3154,5.3162
121,0.1044,0.5719,0.7236,0.7236,20.0954,5.3744
122,0.1040,0.5787,0.7295,0.7295,19.7887,5.4577
123,0.1039,0.5629,0.7167,0.7167,19.7613,5.4652
124,0.1034,0.5604,0.7142,0.7142,20.1450,5.3611
125,0.1027,0.5348,0.6913,0.6913,20.0211,5.3943
126,0.1022,0.4978,0.6593,0.6593,20.4842,5.2724
127,0.1019,0.5669,0.7195,0.7195,20.4669,5.2768
128,0.1014,0.5612,0.7150,0.7150,19.5252,5.5313
129,0.1011,0.5278,0.6860,0.6860,19.8645,5.4368
130,0.1005,0.5524,0.7057,0.7057,20.6346,5.2339
131,0.0999,0.5543,0.7094,0.7094,20.3133,5.3167
132,0.0992,0.5521,0.7068,0.7068,20.1923,5.3486
133,0.0989,0.5503,0.7058,0.7058,20.1908,5.3490
134,0.0985,0.5420,0.6983,0.6983,20.0754,5.3797
135,0.0979,0.5615,0.7150,0.7150,20.1246,5.3666
136,0.0981,0.5687,0.7209,0.7209,20.2694,5.3282
137,0.0980,0.5506,0.7059,0.7059,19.9387,5.4166
138,0.0984,0.5162,0.6764,0.6764,20.3006,5.3200
139,0.0977,0.4929,0.6548,0.6548,21.3665,5.0546
140,0.0969,0.5411,0.6977,0.6977,19.6386,5.4994
141,0.0957,0.4815,0.6439,0.6439,20.0205,5.3945
142,0.0950,0.5408,0.6978,0.6978,20.1254,5.3663
143,0.0945,0.5644,0.7165,0.7165,20.2879,5.3234
144,0.0949,0.5708,0.7234,0.7234,21.2153,5.0907
145,0.0945,0.5133,0.6742,0.6742,21.1852,5.0979
146,0.0938,0.5681,0.7207,0.7207,20.2710,5.3278
147,0.0933,0.5258,0.6846,0.6845,19.8603,5.4380
148,0.0931,0.5677,0.7193,0.7193,20.4211,5.2886
149,0.0926,0.5761,0.7260,0.7260,21.5389,5.0142
150,0.0926,0.5546,0.7067,0.7067,20.7304,5.2097
151,0.0927,0.5284,0.6861,0.6861,19.9493,5.4137
152,0.0920,0.5622,0.7133,0.7133,19.9656,5.4093
153,0.0919,0.5533,0.7080,0.7080,20.0403,5.3891
154,0.0911,0.5658,0.7185,0.7185,19.8866,5.4308
155,0.0915,0.5670,0.7181,0.7181,20.3920,5.2962
156,0.0909,0.5659,0.7188,0.7188,20.9624,5.1521
157,0.0906,0.5325,0.6899,0.6899,20.3024,5.3196
158,0.0905,0.5260,0.6846,0.6846,21.8225,4.9490
159,0.0903,0.5327,0.6909,0.6909,20.3260,5.3134
160,0.0896,0.5617,0.7156,0.7156,20.0899,5.3758
161,0.0896,0.5669,0.7193,0.7193,20.5785,5.2482
162,0.0889,0.5681,0.7211,0.7211,19.9410,5.4160
163,0.0894,0.5457,0.7001,0.7001,20.3485,5.3075
164,0.0891,0.5777,0.7284,0.7284,20.6451,5.2313
165,0.0883,0.5170,0.6766,0.6766,20.3425,5.3091
166,0.0880,0.5517,0.7066,0.7066,20.1668,5.3553
167,0.0877,0.5592,0.7119,0.7119,20.3045,5.3190
168,0.0871,0.5682,0.7212,0.7212,20.7372,5.2080
169,0.0870,0.5811,0.7313,0.7313,20.1268,5.3660
170,0.0862,0.5722,0.7242,0.7242,19.7287,5.4743
171,0.0854,0.4997,0.6612,0.6612,19.7560,5.4667
172,0.0854,0.5348,0.6921,0.6921,19.8238,5.4480
173,0.0854,0.5705,0.7230,0.7230,20.3854,5.2979
174,0.0858,0.5269,0.6853,0.6853,20.1072,5.3712
175,0.0856,0.5528,0.7060,0.7060,20.6216,5.2372
176,0.0855,0.5653,0.7181,0.7181,20.3989,5.2944
177,0.0854,0.5734,0.7254,0.7254,19.9336,5.4180
178,0.0844,0.5333,0.6911,0.6911,20.1775,5.3525
179,0.0837,0.5041,0.6648,0.6648,20.7735,5.1989
180,0.0833,0.5474,0.7030,0.7030,21.0888,5.1212
181,0.0831,0.5114,0.6718,0.6718,20.7983,5.1927
182,0.0824,0.5658,0.7176,0.7176,20.7132,5.2141
183,0.0820,0.5801,0.7311,0.7311,20.3304,5.3122
184,0.0822,0.5353,0.6928,0.6928,20.0984,5.3736
185,0.0817,0.5698,0.7204,0.7204,20.7733,5.1990
186,0.0818,0.5611,0.7146,0.7146,20.1072,5.3712
187,0.0813,0.5552,0.7098,0.7098,20.4279,5.2869
188,0.0814,0.5437,0.7005,0.7005,20.8108,5.1896
189,0.0808,0.5072,0.6682,0.6682,20.7881,5.1953
190,0.0812,0.5664,0.7192,0.7192,20.0492,5.3867
191,0.0816,0.5461,0.7027,0.7027,20.5624,5.2523
192,0.0812,0.5674,0.7201,0.7201,19.6731,5.4897
