epoch,train_loss,iou,dice,f1,epoch_time,throughput
1,0.4735,,,,37.7954,2.8575
2,0.3925,,,,39.6123,2.7264
3,0.3580,,,,41.1672,2.6234
4,0.3336,,,,42.3823,2.5482
5,0.3150,,,,43.2375,2.4978
6,0.3011,,,,43.5816,2.4781
7,0.2896,,,,44.8692,2.4070
8,0.2793,,,,44.6341,2.4197
9,0.2710,,,,45.3506,2.3814
10,0.2632,,,,45.8899,2.3535
11,0.2553,,,,46.0496,2.3453
12,0.2491,,,,46.2788,2.3337
13,0.2429,,,,46.7589,2.3097
14,0.2379,,,,46.9385,2.3009
15,0.2323,,,,47.2882,2.2839
16,0.2287,,,,47.1776,2.2892
17,0.2253,,,,46.5653,2.3193
18,0.2208,,,,47.2771,2.2844
19,0.2183,,,,47.5171,2.2729
20,0.2151,,,,48.0278,2.2487
21,0.2136,,,,49.5165,2.1811
22,0.2110,,,,48.3673,2.2329
23,0.2086,,,,48.2322,2.2392
24,0.2065,,,,48.1509,2.2429
25,0.2051,,,,48.1488,2.2430
26,0.2036,,,,47.6307,2.2674
27,0.2028,,,,48.1024,2.2452
28,0.2009,,,,47.3431,2.2812
29,0.1993,,,,47.8896,2.2552
30,0.1983,,,,47.7836,2.2602
31,0.1970,,,,47.5425,2.2717
32,0.1959,,,,47.6718,2.2655
33,0.1950,,,,47.5280,2.2723
34,0.1932,,,,47.4942,2.2740
35,0.1925,,,,48.1686,2.2421
36,0.1913,,,,48.7262,2.2165
37,0.1910,,,,49.4001,2.1862
38,0.1897,,,,49.3210,2.1897
39,0.1887,,,,49.1996,2.1951
40,0.1875,,,,48.4883,2.2273
41,0.1868,,,,48.2992,2.2361
42,0.1858,,,,47.9761,2.2511
43,0.1850,,,,47.2082,2.2877
44,0.1843,,,,47.8517,2.2570
45,0.1835,,,,47.5225,2.2726
46,0.1827,,,,47.6995,2.2642
47,0.1825,,,,47.1430,2.2909
48,0.1811,,,,48.3075,2.2357
49,0.1804,,,,47.9334,2.2531
50,0.1797,,,,47.9376,2.2529
51,0.1793,0.5637,0.7164,0.7164,47.8520,2.2570
52,0.1784,0.6226,0.7642,0.7642,46.9085,2.3024
53,0.1776,0.6066,0.7517,0.7517,47.2493,2.2857
54,0.1772,0.5122,0.6709,0.6709,48.1919,2.2410
55,0.1761,0.5878,0.7366,0.7366,47.3181,2.2824
56,0.1754,0.5513,0.7056,0.7056,48.0158,2.2493
57,0.1753,0.5215,0.6794,0.6793,47.9767,2.2511
58,0.1748,0.5952,0.7426,0.7426,48.2298,2.2393
59,0.1737,0.6228,0.7648,0.7648,47.7834,2.2602
60,0.1730,0.5641,0.7165,0.7165,48.0523,2.2476
61,0.1720,0.5213,0.6790,0.6790,47.6187,2.2680
62,0.1722,0.5836,0.7330,0.7330,48.3826,2.2322
63,0.1716,0.5668,0.7188,0.7188,48.5550,2.2243
64,0.1706,0.5964,0.7433,0.7433,47.8135,2.2588
65,0.1698,0.6341,0.7735,0.7735,47.7534,2.2616
66,0.1687,0.6065,0.7516,0.7516,47.3566,2.2806
67,0.1689,0.6063,0.7516,0.7516,48.4003,2.2314
68,0.1680,0.5895,0.7377,0.7377,47.4593,2.2756
69,0.1677,0.5712,0.7222,0.7222,48.4849,2.2275
70,0.1673,0.5709,0.7225,0.7225,48.0511,2.2476
71,0.1664,0.5370,0.6931,0.6931,48.1071,2.2450
72,0.1662,0.5481,0.7027,0.7027,48.0233,2.2489
73,0.1658,0.6059,0.7513,0.7513,47.6333,2.2673
74,0.1650,0.5959,0.7429,0.7429,47.9799,2.2509
75,0.1649,0.5835,0.7328,0.7328,48.3628,2.2331
76,0.1638,0.5522,0.7063,0.7063,48.2474,2.2385
77,0.1632,0.5981,0.7450,0.7450,47.8422,2.2574
78,0.1631,0.5579,0.7113,0.7113,47.9827,2.2508
79,0.1619,0.6295,0.7696,0.7696,48.6044,2.2220
80,0.1612,0.6045,0.7498,0.7498,47.7287,2.2628
81,0.1615,0.5884,0.7363,0.7363,47.9408,2.2528
82,0.1607,0.6257,0.7665,0.7665,48.2735,2.2373
83,0.1604,0.5984,0.7449,0.7449,47.9237,2.2536
84,0.1603,0.6063,0.7514,0.7514,47.6186,2.2680
85,0.1596,0.5172,0.6746,0.6746,47.4589,2.2757
86,0.1592,0.5952,0.7420,0.7420,48.0552,2.2474
87,0.1580,0.5735,0.7241,0.7241,47.7326,2.2626
88,0.1580,0.5462,0.7008,0.7008,48.3089,2.2356
89,0.1577,0.5211,0.6783,0.6783,47.4563,2.2758
90,0.1571,0.5239,0.6804,0.6804,47.7466,2.2619
91,0.1564,0.5691,0.7202,0.7202,47.7938,2.2597
92,0.1557,0.5648,0.7163,0.7163,48.7292,2.2163
93,0.1557,0.6017,0.7473,0.7473,47.2503,2.2857
94,0.1543,0.5732,0.7240,0.7240,48.1571,2.2427
95,0.1541,0.5984,0.7442,0.7442,47.6103,2.2684
96,0.1548,0.6016,0.7474,0.7474,47.6219,2.2679
97,0.1537,0.6270,0.7679,0.7679,48.2061,2.2404
98,0.1535,0.5853,0.7341,0.7341,48.0150,2.2493
99,0.1523,0.6422,0.7796,0.7796,47.5224,2.2726
100,0.1522,0.6382,0.7767,0.7767,47.9167,2.2539
101,0.1523,0.6237,0.7654,0.7654,47.7470,2.2619
102,0.1511,0.6072,0.7520,0.7520,48.2005,2.2406
103,0.1507,0.6048,0.7502,0.7502,47.5409,2.2717
104,0.1506,0.6130,0.7566,0.7566,48.2310,2.2392
105,0.1506,0.6070,0.7515,0.7515,48.2258,2.2395
106,0.1495,0.6231,0.7643,0.7643,47.6709,2.2655
107,0.1495,0.6484,0.7843,0.7843,47.7850,2.2601
108,0.1493,0.6479,0.7839,0.7839,48.0526,2.2475
109,0.1484,0.5799,0.7289,0.7289,47.9230,2.2536
110,0.1478,0.6059,0.7502,0.7502,47.8899,2.2552
111,0.1475,0.6159,0.7585,0.7585,48.2169,2.2399
112,0.1468,0.6309,0.7709,0.7709,48.1924,2.2410
113,0.1462,0.6176,0.7597,0.7597,47.9715,2.2513
114,0.1459,0.6102,0.7538,0.7538,48.0520,2.2476
115,0.1458,0.6197,0.7619,0.7619,48.6012,2.2222
